Date,Open,High,Low,Close,Volume
2010-02-08,24.689,24.966,24.478,24.493,134935468
2010-02-09,24.79,24.919,24.57,24.754,179024531
2010-02-10,24.705,24.805,24.509,24.619,104527655
2010-02-11,24.576,25.201,24.486,25.066,155577209
2010-02-12,25.004,25.44,24.665,25.282,182167189
2010-02-16,25.479,25.701,25.424,25.662,153317490
2010-02-17,25.769,25.775,25.345,25.556,123072838
2010-02-18,25.438,25.724,25.353,25.604,119262608
2010-02-19,25.466,25.637,25.372,25.444,117549589
2010-02-22,25.544,25.55,25.131,25.287,110520990
2010-02-23,25.221,25.4,24.692,24.863,162780045
2010-02-24,25.045,25.412,24.96,25.319,130262497
2010-02-25,24.901,25.595,24.841,25.485,188194944
2010-02-26,25.545,25.886,25.485,25.816,143514067
2010-03-01,25.958,26.432,25.922,26.369,155482702
2010-03-02,26.49,26.601,26.211,26.352,160215660
2010-03-03,26.392,26.478,26.234,26.411,105132633
2010-03-04,26.417,26.612,26.325,26.585,101480307
2010-03-05,27.126,27.719,27.08,27.625,254409269
2010-03-08,27.754,27.77,27.536,27.641,121540658
2010-03-09,27.525,28.388,27.493,28.137,260322239
2010-03-10,28.227,28.45,28.161,28.368,168620000
2010-03-11,28.244,28.452,28.178,28.452,114612922
2010-03-12,28.646,28.731,28.481,28.589,117581408
2010-03-15,28.452,28.452,27.789,28.242,139477429
2010-03-16,28.282,28.385,28.073,28.316,126426794
2010-03-17,28.362,28.57,28.171,28.274,127498110
2010-03-18,28.251,28.388,28.085,28.343,96710011
2010-03-19,28.408,28.419,27.912,28.041,158210151
2010-03-22,27.819,28.513,27.777,28.357,129077838
2010-03-23,28.472,28.865,28.272,28.811,170402142
2010-03-24,28.747,29.045,28.705,28.937,169223433
2010-03-25,29.127,29.141,28.546,28.597,153526311
2010-03-26,28.892,29.263,28.836,29.132,181309908
2010-03-29,29.385,29.507,29.223,29.319,149193930
2010-03-30,29.861,29.965,29.555,29.756,148706817
2010-03-31,29.756,29.853,29.581,29.65,121659830
2010-04-01,29.986,30.123,29.367,29.771,170520362
2010-04-05,29.649,30.092,29.62,30.091,192935275
2010-04-06,30.061,30.31,29.902,30.221,126181201
2010-04-07,30.246,30.522,30.114,30.356,177674818
2010-04-08,30.331,30.476,30.029,30.273,162061189
2010-04-09,30.466,30.518,30.337,30.506,94492156
2010-04-12,30.648,30.668,30.509,30.567,94249723
2010-04-13,30.56,30.635,30.421,30.586,86298276
2010-04-14,30.932,31.014,30.795,30.999,114211093
2010-04-15,31.032,31.419,30.974,31.404,106325163
2010-04-16,31.414,31.682,30.854,31.212,212319067
2010-04-19,31.106,31.277,30.503,31.172,160319629
2010-04-20,31.443,31.444,30.654,30.86,203698151
2010-04-21,32.583,32.835,32.263,32.705,277517239
2010-04-22,32.575,33.655,32.324,33.621,224049236
2010-04-23,33.687,34.34,33.685,34.169,225244828
2010-04-26,34.314,34.376,33.838,34.003,
2010-04-27,33.685,33.795,32.868,33.062,200382004
2010-04-28,33.18,33.309,32.351,33.007,214452478
2010-04-29,33.188,34.067,33.058,33.892,157991622
2010-04-30,34.032,34.135,32.93,32.942,153348324
2010-05-03,33.361,33.799,33.166,33.605,128351446
2010-05-04,33.113,33.217,32.392,32.635,204585705
2010-05-05,31.906,32.57,31.383,32.298,249544243
2010-05-06,32.045,32.582,25.138,31.071,362033735
2010-05-07,30.785,31.109,28.414,29.758,474430133
2010-05-10,31.687,32.129,31.359,32.044,278026111
